ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2012-04-26,11809,9658,16368,516,800,3412,371,1594,940,1993,177,175,189,0,4666,1369,5863,79,68,25,0,3792,1656,3681,619,901,184,63
2012-04-27,10727,7324,11837,504,963,4572,175,1930,1109,2686,144,105,95,9,1578,1655,3110,60,51,12,0,4290,1518,4118,693,835,136,26
2012-04-28,21238,5941,22761,456,1070,2788,104,4071,1876,5092,342,243,232,38,4244,1750,5813,63,107,8,3,6777,2228,6920,832,968,179,106
2012-04-29,19661,2913,16397,460,911,4701,105,3427,1249,4017,231,238,184,6,3855,1494,5119,105,105,20,0,6717,1809,5698,969,1609,232,18
2012-04-30,11398,6811,13745,304,662,3469,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,4149,1746,4243,310,511,784,47,3430,1594,4774,71,176,2,1,7814,3594,7933,924,2142,336,73
2012-05-02,9974,7792,11984,254,1462,3745,321,1345,762,1600,143,170,189,5,1043,925,1722,70,165,11,0,3272,976,2385,373,1305,145,40
2012-05-03,8686,11792,17236,279,1206,1722,35,1465,882,1741,180,289,137,0,979,1290,2059,83,125,2,0,4176,1071,2774,664,1571,190,48
2012-05-04,8760,5456,10073,147,1465,2479,52,1638,1653,2827,143,191,129,1,1397,4134,5258,60,206,5,2,4712,1933,3786,577,2167,78,37
2012-05-05,15278,15994,26369,439,1006,3424,34,3103,3162,5632,246,224,162,1,2216,2757,4798,62,107,6,0,6028,3020,6454,652,1686,190,66
2012-05-06,12907,2943,12491,391,769,2195,4,3567,1499,4572,184,222,79,9,2684,1249,3801,83,49,0,0,4994,1588,4963,594,801,174,50
2012-05-07,8181,6126,10336,277,851,2841,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-08,0,0,0,0,0,0,0,1936,1464,2545,193,432,227,3,979,1663,2477,70,93,2,0,4540,6176,7689,612,2198,190,27
2012-05-09,8041,11605,16029,173,345,3097,2,1382,933,1793,139,222,122,39,776,872,1616,18,7,7,0,3613,1429,3318,350,1275,63,36
2012-05-10,8415,8725,13528,293,765,2518,36,1497,1815,2858,96,158,196,4,1004,2166,3042,35,89,4,0,3514,2012,3782,421,1261,55,7
